c000		 JMP (0x4c) 		 A:0 P:20
c5f5		 LDX (0xa2) 		 A:0 P:22
c5f7		 STX (0x86) ??[0]		 A:0 P:22
c5f9		 STX (0x86) !![0]		 A:0 P:22
c5fb		 STX (0x86) 		 A:0 P:22
c5fd		 JSR (0x20) 		 A:0 P:22
c72d		 NOP (0xea) 		 A:0 P:22
c72e		 SEC (0x38) 		 A:0 P:23
c72f		 BCS (0xb0) 		 A:0 P:23
c735		 NOP (0xea) 		 A:0 P:23
c736		 CLC (0x18) 		 A:0 P:22
c737		 BCS (0xb0) 		 A:0 P:22
c739		 JMP (0x4c) 		 A:0 P:22
c740		 NOP (0xea) 		 A:0 P:22
c741		 SEC (0x38) 		 A:0 P:23
c742		 BCC (0x90) 		 A:0 P:23
c744		 JMP (0x4c) 		 A:0 P:23
c74b		 NOP (0xea) 		 A:0 P:23
c74c		 CLC (0x18) 		 A:0 P:22
c74d		 BCC (0x90) 		 A:0 P:22
c753		 NOP (0xea) 		 A:0 P:22
c754		 LDA (0xa9) 		 A:0 P:22
c756		 BEQ (0xf0) 		 A:0 P:22
c75c		 NOP (0xea) 		 A:0 P:22
c75d		 LDA (0xa9) 		 A:40 P:20
c75f		 BEQ (0xf0) 		 A:40 P:20
c761		 JMP (0x4c) 		 A:40 P:20
c768		 NOP (0xea) 		 A:40 P:20
c769		 LDA (0xa9) 		 A:40 P:20
c76b		 BNE (0xd0) 		 A:40 P:20
c771		 NOP (0xea) 		 A:40 P:20
c772		 LDA (0xa9) 		 A:0 P:22
c774		 BNE (0xd0) 		 A:0 P:22
c776		 JMP (0x4c) 		 A:0 P:22
c77d		 NOP (0xea) 		 A:0 P:22
c77e		 LDA (0xa9) 		 A:ff P:a0
c780		 STA (0x85) 		 A:ff P:a0
c782		 BIT (0x24) ZeroPage(1)=255		 A:ff P:e0
c784		 BVS (0x70) 		 A:ff P:e0
c78a		 NOP (0xea) 		 A:ff P:e0
c78b		 BIT (0x24) ZeroPage(1)=255		 A:ff P:e0
c78d		 BVC (0x50) 		 A:ff P:e0
c78f		 JMP (0x4c) 		 A:ff P:e0
c796		 NOP (0xea) 		 A:ff P:e0
c797		 LDA (0xa9) 		 A:0 P:62
c799		 STA (0x85) 		 A:0 P:62
c79b		 BIT (0x24) ZeroPage(1)=0		 A:0 P:22
c79d		 BVC (0x50) 		 A:0 P:22
c7a3		 NOP (0xea) 		 A:0 P:22
c7a4		 BIT (0x24) ZeroPage(1)=0		 A:0 P:22
c7a6		 BVS (0x70) 		 A:0 P:22
c7a8		 JMP (0x4c) 		 A:0 P:22
c7af		 NOP (0xea) 		 A:0 P:22
c7b0		 LDA (0xa9) 		 A:0 P:22
c7b2		 BPL (0x10) 		 A:0 P:22
c7b8		 NOP (0xea) 		 A:0 P:22
c7b9		 LDA (0xa9) 		 A:80 P:a0
c7bb		 BPL (0x10) 		 A:80 P:a0
c7bd		 JMP (0x4c) 		 A:80 P:a0
c7d9		 NOP (0xea) 		 A:80 P:a0
c7da		 RTS (0x60) 		 A:80 P:a0
c600		 JSR (0x20) 		 A:80 P:a0
c7db		 NOP (0xea) 		 A:80 P:a0
c7dc		 LDA (0xa9) 		 A:ff P:a0
c7de		 STA (0x85) 		 A:ff P:a0
c7e0		 BIT (0x24) ZeroPage(1)=255		 A:ff P:e0
c7e2		 LDA (0xa9) 		 A:0 P:62
c7e4		 SEC (0x38) 		 A:0 P:63
c7e5		 SEI (0x78) 		 A:0 P:67
c7e6		 SED (0xF8) 		 A:0 P:6f
c7e7		 PHP (0x08) 		 A:0 P:6f
c7e8		 PLA (0x68) 		 A:6f P:6d
c7e9		 AND (0x29) 		 A:6f P:6d
c7eb		 CMP (0xc9) 		 A:6f P:6f
c7ed		 BEQ (0xf0) 		 A:6f P:6f
c7f3		 NOP (0xea) 		 A:6f P:6f
c7f4		 LDA (0xa9) 		 A:40 P:6d
c7f6		 STA (0x85) 		 A:40 P:6d
c7f8		 BIT (0x24) ZeroPage(1)=64		 A:40 P:6d
c7fa		 CLD (0xd8) 		 A:40 P:65
c7fb		 LDA (0xa9) 		 A:10 P:65
c7fd		 CLC (0x18) 		 A:10 P:64
c7fe		 PHP (0x08) 		 A:10 P:64
c7ff		 PLA (0x68) 		 A:64 P:64
c800		 AND (0x29) 		 A:64 P:64
c802		 CMP (0xc9) 		 A:64 P:67
c804		 BEQ (0xf0) 		 A:64 P:67
c80a		 NOP (0xea) 		 A:64 P:67
c80b		 LDA (0xa9) 		 A:80 P:e5
c80d		 STA (0x85) 		 A:80 P:e5
c80f		 BIT (0x24) ZeroPage(1)=128		 A:80 P:a5
c811		 SED (0xF8) 		 A:80 P:ad
c812		 LDA (0xa9) 		 A:0 P:2f
c814		 SEC (0x38) 		 A:0 P:2f
c815		 PHP (0x08) 		 A:0 P:2f
c816		 PLA (0x68) 		 A:2f P:2d
c817		 AND (0x29) 		 A:2f P:2d
c819		 CMP (0xc9) 		 A:2f P:2f
c81b		 BEQ (0xf0) 		 A:2f P:2f
c821		 NOP (0xea) 		 A:2f P:2f
c822		 LDA (0xa9) 		 A:ff P:ad
c824		 PHA (0x48) 		 A:ff P:ad
c825		 PLP (0x28) 		 A:ff P:ef
c826		 BNE (0xd0) 		 A:ff P:ef
c828		 BPL (0x10) 		 A:ff P:ef
c82a		 BVC (0x50) 		 A:ff P:ef
c82c		 BCC (0x90) 		 A:ff P:ef
c82e		 JMP (0x4c) 		 A:ff P:ef
c835		 NOP (0xea) 		 A:ff P:ef
c836		 LDA (0xa9) 		 A:4 P:6d
c838		 PHA (0x48) 		 A:4 P:6d
c839		 PLP (0x28) 		 A:4 P:24
c83a		 BEQ (0xf0) 		 A:4 P:24
c83c		 BMI (0x30) 		 A:4 P:24
c83e		 BVS (0x70) 		 A:4 P:24
c840		 BCS (0xb0) 		 A:4 P:24
c842		 JMP (0x4c) 		 A:4 P:24
c849		 NOP (0xea) 		 A:4 P:24
c84a		 SED (0xF8) 		 A:4 P:2c
c84b		 LDA (0xa9) 		 A:ff P:ac
c84d		 STA (0x85) 		 A:ff P:ac
c84f		 BIT (0x24) ZeroPage(1)=255		 A:ff P:ec
c851		 CLC (0x18) 		 A:ff P:ec
c852		 LDA (0xa9) 		 A:0 P:6e
c854		 PHA (0x48) 		 A:0 P:6e
c855		 LDA (0xa9) 		 A:ff P:ec
c857		 PLA (0x68) 		 A:0 P:6e
c858		 BNE (0xd0) 		 A:0 P:6e
c85a		 BMI (0x30) 		 A:0 P:6e
c85c		 BVC (0x50) 		 A:0 P:6e
c85e		 BCS (0xb0) 		 A:0 P:6e
c860		 JMP (0x4c) 		 A:0 P:6e
c867		 NOP (0xea) 		 A:0 P:6e
c868		 LDA (0xa9) 		 A:0 P:6e
c86a		 STA (0x85) 		 A:0 P:6e
c86c		 BIT (0x24) ZeroPage(1)=0		 A:0 P:2e
c86e		 SEC (0x38) 		 A:0 P:2f
c86f		 LDA (0xa9) 		 A:ff P:ad
c871		 PHA (0x48) 		 A:ff P:ad
c872		 LDA (0xa9) 		 A:0 P:2f
c874		 PLA (0x68) 		 A:ff P:ad
c875		 BEQ (0xf0) 		 A:ff P:ad
c877		 BPL (0x10) 		 A:ff P:ad
c879		 BVS (0x70) 		 A:ff P:ad
c87b		 BCC (0x90) 		 A:ff P:ad
c87d		 JMP (0x4c) 		 A:ff P:ad
c884		 RTS (0x60) 		 A:ff P:ad
c603		 JSR (0x20) 		 A:ff P:ad
c885		 NOP (0xea) 		 A:ff P:ad
c886		 CLC (0x18) 		 A:ff P:ac
c887		 LDA (0xa9) 		 A:ff P:ac
c889		 STA (0x85) 		 A:ff P:ac
c88b		 BIT (0x24) ZeroPage(1)=255		 A:ff P:ec
c88d		 LDA (0xa9) 		 A:55 P:6c
c88f		 ORA (0x09) 		 A:ff P:ec
c891		 BCS (0xb0) 		 A:ff P:ec
c893		 BPL (0x10) 		 A:ff P:ec
c895		 CMP (0xc9) 		 A:ff P:6f
c897		 BNE (0xd0) 		 A:ff P:6f
c899		 BVC (0x50) 		 A:ff P:6f
c89b		 JMP (0x4c) 		 A:ff P:6f
c8a2		 NOP (0xea) 		 A:ff P:6f
c8a3		 SEC (0x38) 		 A:ff P:6f
c8a4		 CLV (0xB8) 		 A:ff P:2f
c8a5		 LDA (0xa9) 		 A:0 P:2f
c8a7		 ORA (0x09) 		 A:0 P:2f
c8a9		 BNE (0xd0) 		 A:0 P:2f
c8ab		 BVS (0x70) 		 A:0 P:2f
c8ad		 BCC (0x90) 		 A:0 P:2f
c8af		 BMI (0x30) 		 A:0 P:2f
c8b1		 JMP (0x4c) 		 A:0 P:2f
c8b8		 NOP (0xea) 		 A:0 P:2f
c8b9		 CLC (0x18) 		 A:0 P:2e
c8ba		 BIT (0x24) ZeroPage(1)=255		 A:0 P:ee
c8bc		 LDA (0xa9) 		 A:55 P:6c
c8be		 AND (0x29) 		 A:0 P:6e
c8c0		 BNE (0xd0) 		 A:0 P:6e
c8c2		 BVC (0x50) 		 A:0 P:6e
c8c4		 BCS (0xb0) 		 A:0 P:6e
c8c6		 BMI (0x30) 		 A:0 P:6e
c8c8		 JMP (0x4c) 		 A:0 P:6e
c8cf		 NOP (0xea) 		 A:0 P:6e
c8d0		 SEC (0x38) 		 A:0 P:6f
c8d1		 CLV (0xB8) 		 A:0 P:2f
c8d2		 LDA (0xa9) 		 A:f8 P:ad
c8d4		 AND (0x29) 		 A:e8 P:ad
c8d6		 BCC (0x90) 		 A:e8 P:ad
c8d8		 BPL (0x10) 		 A:e8 P:ad
c8da		 CMP (0xc9) 		 A:e8 P:2f
c8dc		 BNE (0xd0) 		 A:e8 P:2f
c8de		 BVS (0x70) 		 A:e8 P:2f
c8e0		 JMP (0x4c) 		 A:e8 P:2f
c8e7		 NOP (0xea) 		 A:e8 P:2f
c8e8		 CLC (0x18) 		 A:e8 P:2e
c8e9		 BIT (0x24) ZeroPage(1)=255		 A:e8 P:ec
c8eb		 LDA (0xa9) 		 A:5f P:6c
c8ed		 EOR (0x49) 		 A:f5 P:ec
c8ef		 BCS (0xb0) 		 A:f5 P:ec
c8f1		 BPL (0x10) 		 A:f5 P:ec
c8f3		 CMP (0xc9) 		 A:f5 P:6f
c8f5		 BNE (0xd0) 		 A:f5 P:6f
c8f7		 BVC (0x50) 		 A:f5 P:6f
c8f9		 JMP (0x4c) 		 A:f5 P:6f
c900		 NOP (0xea) 		 A:f5 P:6f
c901		 SEC (0x38) 		 A:f5 P:6f
c902		 CLV (0xB8) 		 A:f5 P:2f
c903		 LDA (0xa9) 		 A:70 P:2d
c905		 EOR (0x49) 		 A:0 P:2f
c907		 BNE (0xd0) 		 A:0 P:2f
c909		 BVS (0x70) 		 A:0 P:2f
c90b		 BCC (0x90) 		 A:0 P:2f
c90d		 BMI (0x30) 		 A:0 P:2f
c90f		 JMP (0x4c) 		 A:0 P:2f
c916		 NOP (0xea) 		 A:0 P:2f
c917		 CLC (0x18) 		 A:0 P:2e
c918		 BIT (0x24) ZeroPage(1)=255		 A:0 P:ee
c91a		 LDA (0xa9) 		 A:0 P:6e
c91c		 ADC (0x69) 		 A:69 P:2c
c91e		 BMI (0x30) 		 A:69 P:2c
c920		 BCS (0xb0) 		 A:69 P:2c
c922		 CMP (0xc9) 		 A:69 P:2f
c924		 BNE (0xd0) 		 A:69 P:2f
c926		 BVS (0x70) 		 A:69 P:2f
c928		 JMP (0x4c) 		 A:69 P:2f
c92f		 NOP (0xea) 		 A:69 P:2f
c930		 SEC (0x38) 		 A:69 P:2f
c931		 SED (0xF8) 		 A:69 P:2f
c932		 BIT (0x24) ZeroPage(1)=255		 A:69 P:ed
c934		 LDA (0xa9) 		 A:1 P:6d
c936		 ADC (0x69) 		 A:6b P:2c
c938		 BMI (0x30) 		 A:6b P:2c
c93a		 BCS (0xb0) 		 A:6b P:2c
c93c		 CMP (0xc9) 		 A:6b P:2f
c93e		 BNE (0xd0) 		 A:6b P:2f
c940		 BVS (0x70) 		 A:6b P:2f
c942		 JMP (0x4c) 		 A:6b P:2f
c949		 NOP (0xea) 		 A:6b P:2f
c94a		 CLD (0xd8) 		 A:6b P:27
c94b		 SEC (0x38) 		 A:6b P:27
c94c		 CLV (0xB8) 		 A:6b P:27
c94d		 LDA (0xa9) 		 A:7f P:25
c94f		 ADC (0x69) 		 A:ff P:e4
c951		 BPL (0x10) 		 A:ff P:e4
c953		 BCS (0xb0) 		 A:ff P:e4
c955		 CMP (0xc9) 		 A:ff P:67
c957		 BNE (0xd0) 		 A:ff P:67
c959		 BVC (0x50) 		 A:ff P:67
c95b		 JMP (0x4c) 		 A:ff P:67
c962		 NOP (0xea) 		 A:ff P:67
c963		 CLC (0x18) 		 A:ff P:66
c964		 BIT (0x24) ZeroPage(1)=255		 A:ff P:e4
c966		 LDA (0xa9) 		 A:7f P:64
c968		 ADC (0x69) 		 A:ff P:a4
c96a		 BPL (0x10) 		 A:ff P:a4
c96c		 BCS (0xb0) 		 A:ff P:a4
c96e		 CMP (0xc9) 		 A:ff P:27
c970		 BNE (0xd0) 		 A:ff P:27
c972		 BVS (0x70) 		 A:ff P:27
c974		 JMP (0x4c) 		 A:ff P:27
c97b		 NOP (0xea) 		 A:ff P:27
c97c		 SEC (0x38) 		 A:ff P:27
c97d		 CLV (0xB8) 		 A:ff P:27
c97e		 LDA (0xa9) 		 A:7f P:25
c980		 ADC (0x69) 		 A:0 P:27
c982		 BNE (0xd0) 		 A:0 P:27
c984		 BMI (0x30) 		 A:0 P:27
c986		 BVS (0x70) 		 A:0 P:27
c988		 BCC (0x90) 		 A:0 P:27
c98a		 JMP (0x4c) 		 A:0 P:27
c991		 NOP (0xea) 		 A:0 P:27
c992		 SEC (0x38) 		 A:0 P:27
c993		 CLV (0xB8) 		 A:0 P:27
c994		 LDA (0xa9) 		 A:9f P:a5
c996		 BEQ (0xf0) 		 A:9f P:a5
c998		 BPL (0x10) 		 A:9f P:a5
c99a		 BVS (0x70) 		 A:9f P:a5
c99c		 BCC (0x90) 		 A:9f P:a5
c99e		 JMP (0x4c) 		 A:9f P:a5
c9a5		 NOP (0xea) 		 A:9f P:a5
c9a6		 CLC (0x18) 		 A:9f P:a4
c9a7		 BIT (0x24) ZeroPage(1)=255		 A:9f P:e4
c9a9		 LDA (0xa9) 		 A:0 P:66
c9ab		 BNE (0xd0) 		 A:0 P:66
c9ad		 BMI (0x30) 		 A:0 P:66
c9af		 BVC (0x50) 		 A:0 P:66
c9b1		 BCS (0xb0) 		 A:0 P:66
c9b3		 JMP (0x4c) 		 A:0 P:66
c9ba		 NOP (0xea) 		 A:0 P:66
c9bb		 BIT (0x24) ZeroPage(1)=255		 A:0 P:e6
c9bd		 LDA (0xa9) 		 A:40 P:64
c9bf		 CMP (0xc9) 		 A:40 P:67
c9c1		 BMI (0x30) 		 A:40 P:67
c9c3		 BCC (0x90) 		 A:40 P:67
c9c5		 BNE (0xd0) 		 A:40 P:67
c9c7		 BVC (0x50) 		 A:40 P:67
c9c9		 JMP (0x4c) 		 A:40 P:67
c9d0		 NOP (0xea) 		 A:40 P:67
c9d1		 CLV (0xB8) 		 A:40 P:27
c9d2		 CMP (0xc9) 		 A:40 P:25
c9d4		 BEQ (0xf0) 		 A:40 P:25
c9d6		 BMI (0x30) 		 A:40 P:25
c9d8		 BCC (0x90) 		 A:40 P:25
c9da		 BVS (0x70) 		 A:40 P:25
c9dc		 JMP (0x4c) 		 A:40 P:25
c9e3		 NOP (0xea) 		 A:40 P:25
c9e4		 CMP (0xc9) 		 A:40 P:a4
c9e6		 BEQ (0xf0) 		 A:40 P:a4
c9e8		 BPL (0x10) 		 A:40 P:a4
c9ea		 BPL (0x10) 		 A:40 P:a4
c9ec		 JMP (0x4c) 		 A:40 P:a4
c9f3		 NOP (0xea) 		 A:40 P:a4
c9f4		 LDA (0xa9) 		 A:80 P:a4
c9f6		 CMP (0xc9) 		 A:80 P:a5
c9f8		 BEQ (0xf0) 		 A:80 P:a5
c9fa		 BPL (0x10) 		 A:80 P:a5
c9fc		 BCC (0x90) 		 A:80 P:a5
c9fe		 JMP (0x4c) 		 A:80 P:a5
ca05		 NOP (0xea) 		 A:80 P:a5
ca06		 CMP (0xc9) 		 A:80 P:27
